Woord;Omschrijving;Voorbeeldzin 1;Voorbeeldzin 2;Voorbeeldzin 3;Les
Aanhalen;Iets noemen of citeren ter ondersteuning van een argument.;De leraar {{haalde}} een interessant citaat {{aan}} uit het boek.; De politicus {{haalde}} de grondwet {{aan}} om zijn beslissing te rechtvaardigen.; De rechter {{haalde}} een eerder vonnis {{aan}} als precedent.;Les 28
Aanzetten tot;Iemand aanmoedigen of stimuleren om iets te doen.;Het filmpje {{zette}} de leerlingen {{aan}} tot nadenken.; Sociale ongelijkheid kan mensen {{aanzetten tot}} protest.; De coach probeerde zijn spelers {{aan te zetten tot}} meer doorzettingsvermogen.;Les 28
Afleiden;Een conclusie trekken uit informatie, of: iemands aandacht wegnemen.;Uit de resultaten kunnen we {{afleiden}} dat de theorie klopt.; Kan je hieruit {{afleiden}} welke conclusie de schrijver trekt?; Uit haar toon kun je {{afleiden}} dat ze het er niet mee eens was.;Les 28
Beschouwen;Iets bekijken of beoordelen op een bepaalde manier.;Hij {{beschouwt}} dit als zijn beste werk tot nu toe.; Wetenschappers {{beschouwen}} klimaatverandering als de grootste uitdaging van onze tijd.; Hij {{beschouwt}} eerlijkheid als de belangrijkste eigenschap van een goede vriend.;Les 28
Betrekken bij;Iemand of iets in iets opnemen of erbij laten horen.;De directeur {{betrok}} alle medewerkers bij de beslissing.; De organisatie {{betrekt}} vrijwilligers {{bij}} het opzetten van nieuwe projecten.; De school {{betrekt}} ouders {{bij}} het opstellen van het gedragsreglement.;Les 28
Constructief ;opbouwend, Gericht op verbetering en vooruitgang.;Ze gaf {{constructieve}} feedback op mijn tekst.; In plaats van te klagen, probeerde hij {{constructief}} mee te denken over oplossingen.; De vergadering verliep {{constructief}}: er kwamen concrete voorstellen op tafel.;Les 28
Impact;De invloed of het effect van iets.;De {{impact}} van sociale media op jongeren is enorm.; De {{impact}} van de aardbeving op de lokale bevolking was verwoestend.; De {{impact}} van slaaptekort op schoolprestaties wordt vaak onderschat.;Les 28
Omschrijven;Iets uitleggen met andere woorden.;Kun je dat begrip eens {{omschrijven}} met een voorbeeld?; Hoe zou jij geluk {{omschrijven}} zonder het woord 'blij' te gebruiken?; De verdachte kon de situatie niet goed {{omschrijven}} omdat hij in paniek was.;Les 28
Oproepen;Een gevoel of reactie teweegbrengen.;Dit gedicht {{roept}} veel emoties {{op}} bij de lezer.; De foto van het verlaten dorp {{riep}} een gevoel van melancholie {{op}}.; Zijn toespraak {{riep}} heel wat weerstand {{op}} bij de toehoorders.;Les 28
Situering;De context of het kader waarbinnen iets zich afspeelt.;Begin je betoog met een duidelijke {{situering}} van het probleem.; Zonder een goede {{situering}} begrijp je de context van het conflict niet.; De {{situering}} van het verhaal in de Eerste Wereldoorlog geeft het extra gewicht.;Les 28
Typisch;Kenmerkend of karakteristiek voor iets of iemand.;Het is {{typisch}} voor hem om te laat te komen.; Het is {{typisch}} voor die regio om 's zomers nauwelijks te regenen.; Het is {{typisch}} voor deze schrijver om het einde open te laten.;Les 28
Verantwoorden;Uitleggen waarom iets zo is of zo gedaan werd.;Je moet je keuze goed kunnen {{verantwoorden}} .; Ze moest haar budgetoverschrijding {{verantwoorden}} aan de raad van bestuur.; Een wetenschapper moet zijn methode altijd kunnen {{verantwoorden}}.;Les 28
Zich verhouden tot;Een relatie of verhouding hebben met iets.;Hoe {{verhoudt}} dit resultaat zich {{tot}} het vorige?; Hoe {{verhoudt}} jouw mening zich {{tot}} wat de tekst beweert?; Hoe {{verhoudt}} dit nieuwe bewijs zich {{tot}} de bestaande theorie?;Les 28
Verrichten ;iets doen, Een handeling uitvoeren.;De dokter {{verrichtte}} een grondig onderzoek.; De vrijwilligers {{verrichten}} dagelijks onzichtbaar maar belangrijk werk.; Ze {{verrichtte}} pionierswerk op het gebied van vrouwenrechten.;Les 28
Aanbrengen ;Een argument of idee naar voren brengen in een discussie of tekst.;In haar betoog {{bracht}} ze drie sterke argumenten {{aan}} om haar standpunt te onderbouwen.; De advocaat {{bracht}} een nieuw bewijsstuk {{aan}} dat het verloop van het proces veranderde.; De leerling {{bracht}} een interessante nuance {{aan}} in het debat.;Les 21
Aanzien ;Beschouwen als, iets gelijkstellen aan iets anders.;Dat wordt algemeen {{aanzien}} als een grote fout.; Haar stilzwijgen werd {{aangezien}} als instemming.; Het incident werd {{aangezien}} als een diplomatieke blunder.;Les 21
Achterhalen ;Iets te weten komen, inhalen of domineren.;De onderzoekers probeerden de oorzaak van de brand te {{achterhalen}} zodat duidelijk zou worden of die aangestoken was.; Het was moeilijk te {{achterhalen}} wie het gerucht in de wereld had gebracht.; De historicus slaagde erin de herkomst van het document te {{achterhalen}}.;Les 21
